,equity
2008-09-25 00:00:00+00:00,56316555.35390809
2008-09-26 00:00:00+00:00,55979536.947359614
2008-09-29 00:00:00+00:00,55179412.557890624
2008-09-30 00:00:00+00:00,55262530.420351334
2008-10-01 00:00:00+00:00,55341645.176791124
2008-10-02 00:00:00+00:00,43732696.9189202
2008-10-03 00:00:00+00:00,54753557.15464143
2008-10-06 00:00:00+00:00,53753263.3211616
2008-10-07 00:00:00+00:00,53562339.95903594
2008-10-08 00:00:00+00:00,53219675.714817464
2008-10-09 00:00:00+00:00,46989296.87129985
2008-10-10 00:00:00+00:00,52870704.29595206
2008-10-13 00:00:00+00:00,52872281.81880727
2008-10-14 00:00:00+00:00,52792393.05739997
2008-10-15 00:00:00+00:00,52695827.861603335
2008-10-16 00:00:00+00:00,52598544.15551519
2008-10-17 00:00:00+00:00,51615277.947817855
2008-10-20 00:00:00+00:00,51794231.03416364
2008-10-21 00:00:00+00:00,51999891.66954725
2008-10-22 00:00:00+00:00,51183615.235647134
2008-10-23 00:00:00+00:00,50742164.930857666
2008-10-24 00:00:00+00:00,49573824.9416065
2008-10-27 00:00:00+00:00,49295912.582849495
2008-10-28 00:00:00+00:00,41797292.75775442
2008-10-29 00:00:00+00:00,50012801.312834695
2008-10-30 00:00:00+00:00,46074776.273405105
2008-10-31 00:00:00+00:00,49959648.8315639
2008-11-03 00:00:00+00:00,49921702.91426094
2008-11-04 00:00:00+00:00,50255311.48630619
2008-11-05 00:00:00+00:00,49783259.51420273
2008-11-06 00:00:00+00:00,49468718.54279658
2008-11-07 00:00:00+00:00,49554556.70637239
2008-11-10 00:00:00+00:00,49875892.511812225
2008-11-11 00:00:00+00:00,49428972.23254944
2008-11-12 00:00:00+00:00,49229766.78543727
2008-11-13 00:00:00+00:00,45454321.946547106
2008-11-14 00:00:00+00:00,49204822.64175717
2008-11-17 00:00:00+00:00,49218325.80774054
2008-11-18 00:00:00+00:00,49162810.71013108
2008-11-19 00:00:00+00:00,49134099.38265375
2008-11-20 00:00:00+00:00,49052044.625907265
2008-11-21 00:00:00+00:00,48890295.60761994
2008-11-24 00:00:00+00:00,48977383.24711607
2008-11-25 00:00:00+00:00,49010410.237213284
2008-11-26 00:00:00+00:00,49017957.68762887
2008-11-27 00:00:00+00:00,47081465.428411834
2008-11-28 00:00:00+00:00,49188015.31105557
2008-12-01 00:00:00+00:00,49048703.38534217
2008-12-02 00:00:00+00:00,48946335.12586935
2008-12-03 00:00:00+00:00,48936710.88470305
2008-12-04 00:00:00+00:00,48896463.497473784
2008-12-05 00:00:00+00:00,48885526.78193289
2008-12-08 00:00:00+00:00,48900838.183690146
2008-12-09 00:00:00+00:00,47133896.90587276
2008-12-10 00:00:00+00:00,48872402.72328381
2008-12-11 00:00:00+00:00,48798907.75506507
2008-12-12 00:00:00+00:00,48793658.0288409
2008-12-15 00:00:00+00:00,48876954.24320917
2008-12-16 00:00:00+00:00,48876954.24320917
2008-12-17 00:00:00+00:00,48899917.06493816
2008-12-18 00:00:00+00:00,49374468.13980411
2008-12-19 00:00:00+00:00,49865098.19863564
2008-12-22 00:00:00+00:00,49712550.96866899
2008-12-23 00:00:00+00:00,49644604.066251956
2008-12-24 00:00:00+00:00,49650638.3171295
2008-12-26 00:00:00+00:00,49811684.462905966
2008-12-29 00:00:00+00:00,49764626.92471987
2008-12-30 00:00:00+00:00,50007749.85380716
2008-12-31 00:00:00+00:00,50053514.20086401
2009-01-02 00:00:00+00:00,50229980.100758605
2009-01-05 00:00:00+00:00,50066694.95819834
2009-01-06 00:00:00+00:00,50415970.0240564
2009-01-07 00:00:00+00:00,49764334.60663494
2009-01-08 00:00:00+00:00,27699506.37576356
2009-01-09 00:00:00+00:00,50163829.21923371
2009-01-12 00:00:00+00:00,50001029.521104716
2009-01-13 00:00:00+00:00,49996261.859463625
2009-01-14 00:00:00+00:00,50176821.08370941
2009-01-15 00:00:00+00:00,49986286.43909569
2009-01-16 00:00:00+00:00,50270971.23484656
2009-01-19 00:00:00+00:00,48182454.123433456
2009-01-20 00:00:00+00:00,50104662.99331312
2009-01-21 00:00:00+00:00,50209661.31835192
2009-01-22 00:00:00+00:00,50087167.94600405
2009-01-23 00:00:00+00:00,50042902.185117915
2009-01-26 00:00:00+00:00,31751458.767137878
2009-01-27 00:00:00+00:00,50136185.90950147
2009-01-28 00:00:00+00:00,50219352.29785122
2009-01-29 00:00:00+00:00,50233957.241344735
2009-01-30 00:00:00+00:00,50206990.08420624
2009-02-02 00:00:00+00:00,49997674.21369656
2009-02-03 00:00:00+00:00,50029270.39476503
2009-02-04 00:00:00+00:00,50083198.88066346
2009-02-05 00:00:00+00:00,50115192.57272321
2009-02-06 00:00:00+00:00,50144764.85338377
2009-02-09 00:00:00+00:00,50262849.180710256
2009-02-10 00:00:00+00:00,50315953.78444503
2009-02-11 00:00:00+00:00,50255726.64099638
2009-02-12 00:00:00+00:00,50277535.59810399
2009-02-13 00:00:00+00:00,50196976.09568703
2009-02-16 00:00:00+00:00,48260788.45469824
2009-02-17 00:00:00+00:00,50107632.67332639
2009-02-18 00:00:00+00:00,50197686.28773061
2009-02-19 00:00:00+00:00,50136444.412839375
2009-02-20 00:00:00+00:00,50030959.248161346
2009-02-23 00:00:00+00:00,40067981.725032836
2009-02-24 00:00:00+00:00,49947428.120190226
2009-02-25 00:00:00+00:00,49959261.951302394
2009-02-26 00:00:00+00:00,50036408.339952685
2009-02-27 00:00:00+00:00,50152000.88234591
2009-03-02 00:00:00+00:00,49978082.66327591
2009-03-03 00:00:00+00:00,49840571.0289028
2009-03-04 00:00:00+00:00,49954888.97953258
2009-03-05 00:00:00+00:00,49772251.50693538
2009-03-06 00:00:00+00:00,49749925.243555695
2009-03-09 00:00:00+00:00,49687268.2364553
2009-03-10 00:00:00+00:00,43648315.82118812
2009-03-11 00:00:00+00:00,43648315.82118812
2009-03-12 00:00:00+00:00,49680750.74353806
2009-03-13 00:00:00+00:00,49624113.301994786
2009-03-16 00:00:00+00:00,49602312.160470344
